Drawing Number,Material,Program Number,G76 Block 1,G76 Block 2,Machine
JEFD0302370 B,15-5PH,O0089-HEAD#1.nc, G76P040060Q0015R0,  G76X.377Z.443R0P310Q310F.05,KNC-32
VDLD0302060 C,304L,O0092-HEAD#1.nc, G76P040060Q0015R0,  G76X.377Z.54R0P310Q310F.05,KNC-32
JEFD0304060 B,304L,O0093-HEAD#1.nc, G76P040060Q0015R0,  G76X.495Z.465R0P320Q320F.0555,KNC-32
DTCD0100070 B,304L,O0095-HEAD#1.nc, G76P040060Q0015R0,  G76X.495Z.47R0P340Q310F.0555,KNC-32
JEFD0304260 B,304L,O1009-HEAD#2.nc, G76P040060Q0015R0,  G76X.377Z.45R0P310Q310F.05,KNC-32
DTCD0100010 A,304L,O1044-HEAD#2.nc, G76P040060Q0015R0,  G76X.377Z.395R0P310Q310F.05,KNC-32
JEFD0302370 B,15-5PH,O1089-HEAD#2.nc, G76P040060Q0015R0,  G76X.377Z.45R0P310Q310F.05,KNC-32
JEFD0304060 B,304L,O1093-HEAD#2.nc, G76P040060Q0015R0,  G76X.495Z.465R0P320Q320F.0555,KNC-32
VDLD0501090 B,304L,O1094-HEAD#2.nc, G76P040060Q0015R0,  G76X.262Z.37R0P240Q240F.0416,KNC-32
JESD2503022 J,303,O4005, G76P020060Q00350R0.001,  G76X0.1857Z0.310P03067Q03067F0.05, S-206
JESD0326950 D,303,O4011-HEAD#1.nc, G18G76P010060Q00100R0.0005,  G76X0.2614Z0.288P02556Q02556F0.0417, S-206
VDCD0305000 G,303,O4023, G18G76P010060Q00200R0.0005,  G76X.2517Z.5P01933Q01933F.0357, S-206
JEFD0365500 A,304,O6006, G76P020060Q0035R.0005,  G76X.3762Z-.508P0307Q0307F.05,WY-100
JEFD0365500 A,304,O6006_01_16_18, G76P020060Q0035R.0005,  G76X.3762Z-.508P0307Q0307F.05,WY-100
AARD0511030M C,304L,O6010, G76P010060Q0035R.0005,  G76X.313Z-.45P0255Q0255F.0417,WY-100
JEFD0365500 A,304,O6506, G76P020060Q0035R.0005,  G76X.3762Z.508P0307Q0307F.05,WY-100
JEFD0365500 A,304,O6506_01_16_18, G76P020060Q0035R.0005,  G76X.3762Z.508P0307Q0307F.05,WY-100
AARD0511030M C,304L,O6510, G76P020060Q0025R.0005,  G76X.376Z.370P0307Q0307F.05,WY-100
